"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.043769748042, -37.940649637077),175.043769748042,-37.940649637077,17879.6036347965
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.101319473473, -37.1995842773761),175.101319473473,-37.1995842773761,17853.0790155817
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(176.592637863274, -38.1663841924363),176.592637863274,-38.1663841924363,18015.1478923755
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.53141468171, -38.4761699094615),177.53141468171,-38.4761699094615,18103.9309102107
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(178.159361279188, -37.8466959413035),178.159361279188,-37.8466959413035,18129.547181645
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.887571986059, -38.1784625499614),177.887571986059,-38.1784625499614,18121.1994687266
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.555748549698, -38.1625994745461),177.555748549698,-38.1625994745461,18093.5331067043
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.256640771657, -38.055213508319),177.256640771657,-38.055213508319,18064.8110094112
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.432237101932, -38.0953969945575),177.432237101932,-38.0953969945575,18080.7502217411
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.132787560648, -38.0530116734566),177.132787560648,-38.0530116734566,18054.6309150503
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(178.03994352395, -38.5902593798785),178.03994352395,-38.5902593798785,18149.8226055752
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.89242058817, -38.7708098385941),177.89242058817,-38.7708098385941,18144.5776652787
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.907833432207, -39.1054887376767),177.907833432207,-39.1054887376767,18157.9447565695
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(177.777066307307, -38.9718823223363),177.777066307307,-38.9718823223363,18142.491526761
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(176.844700699574, -39.1256459306964),176.844700699574,-39.1256459306964,18071.5875739989
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.825936365454, -41.7062289021202),172.825936365454,-41.7062289021202,17814.1034967136
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(173.685905292204, -41.3303096684724),173.685905292204,-41.3303096684724,17875.9020073003
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.049337841061, -42.4299127134508),172.049337841061,-42.4299127134508,17765.346519385
